# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab ssu-align-results/ssu-align-results.tab --viterbi /vortexfs1/home/dgellermcgrath/.conda/envs/genex/share/ssu-align-0.1.1/ssu-align-0p1.cm all_genes.fa
# date:       Thu Jan 30 23:39:06 2020
# num seqs:   1666625
# dbsize(Mb): 3475.125818
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                                                  target coord   query coord                         
#                                                        ----------------------  ------------                         
# model name  target name                                     start        stop  start   stop    bit sc   E-value  GC%
# ----------  -----------------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     MAG_386_1_7                                       609         618      1   1508     -0.37         -   30
  archaea     MAG_386_1_8                                       273         287      1   1508     -0.97         -   40
  archaea     MAG_386_1_8                                       546         525      1   1508      1.38         -   41
  archaea     MAG_386_1_9                                       112          96      1   1508     -0.99         -   41
  archaea     MAG_386_1_11                                      450         441      1   1508     -0.37         -   40
  archaea     MAG_386_1_12                                     1274        1253      1   1508      1.47         -   41
  archaea     MAG_386_1_15                                      352         363      1   1508     -0.48         -   42
  archaea     MAG_386_1_15                                      390         374      1   1508     -0.23         -   47
  archaea     MAG_386_1_17                                       57          66      1   1508      3.73         -   40
  archaea     MAG_386_1_19                                     2124        2142      1   1508      2.93         -   47
  archaea     MAG_386_1_19                                     1907        1889      1   1508      0.87         -   42
  archaea     MAG_386_1_21                                      484         495      1   1508      1.50         -   33
  archaea     MAG_386_1_22                                     1651        1662      1   1508      3.55         -   42
  archaea     MAG_386_1_27                                      350         358      1   1508     -0.28         -   33
  archaea     MAG_386_1_28                                       65          57      1   1508     -0.28         -   44
  archaea     MAG_386_1_30                                     1043        1065      1   1508      0.52         -   61
  archaea     MAG_386_1_30                                     1140        1113      1   1508      4.17         -   39
  archaea     MAG_386_1_31                                      987         942      1   1508      0.53         -   50
  archaea     MAG_386_1_32                                       71          90      1   1508     -0.43         -   35
  archaea     MAG_386_1_32                                      866         855      1   1508      3.11         -   50
  archaea     MAG_386_1_35                                      170         155      1   1508     -0.73         -   44
  archaea     MAG_386_1_36                                      223         207      1   1508      1.05         -   35
  archaea     MAG_386_1_37                                       83          75      1   1508      1.76         -   44
  archaea     MAG_386_1_41                                      319         291      1   1508     -0.02         -   48
  archaea     MAG_386_1_43                                     1060        1046      1   1508     -0.81         -   27
  archaea     MAG_386_1_44                                      365         344      1   1508     -0.61         -   32
  archaea     MAG_386_1_49                                      769         762      1   1508     -0.19         -   38
  archaea     MAG_386_1_50                                      469         460      1   1508      0.79         -   40
  archaea     MAG_386_1_52                                      263         252      1   1508     -0.54         -   25
  archaea     MAG_386_1_55                                      564         575      1   1508     -0.54         -   42
  archaea     MAG_386_1_61                                      123         115      1   1508     -0.28         -   33
  archaea     MAG_386_1_64                                     1140        1127      1   1508      1.32         -   36
  archaea     MAG_386_1_66                                      279         270      1   1508     -0.37         -   30
  archaea     MAG_386_1_67                                      494         486      1   1508     -0.28         -   44
  archaea     MAG_386_1_68                                     1875        1891      1   1508      1.05         -   47
  archaea     MAG_386_1_68                                     1608        1588      1   1508      5.00         -   33
  archaea     MAG_386_1_69                                      382         390      1   1508      1.76         -   44
  archaea     MAG_386_1_70                                       79          90      1   1508      1.50         -   58
  archaea     MAG_386_1_70                                     1458        1433      1   1508     -0.12         -   31
  archaea     MAG_386_1_74                                      515         507      1   1508      1.18         -   44
  archaea     MAG_386_1_75                                      666         654      1   1508      8.39         -   46
  archaea     MAG_386_1_77                                      184         198      1   1508     -0.81         -   33
  archaea     MAG_386_1_78                                      306         317      1   1508      1.82         -   33
  archaea     MAG_386_1_78                                      517         495      1   1508     -0.70         -   52
  archaea     MAG_386_1_80                                      228         206      1   1508      3.56         -   48
  archaea     MAG_386_1_81                                       94         105      1   1508     -0.54         -   50
  archaea     MAG_386_1_81                                      616         606      1   1508     -0.45         -   36
  archaea     MAG_386_1_84                                      475         462      1   1508      2.16         -   36
  archaea     MAG_386_1_85                                     1473        1443      1   1508     -0.56         -   45
  archaea     MAG_386_1_86                                     1660        1695      1   1508      1.20         -   44
  archaea     MAG_386_1_86                                     1631        1604      1   1508      0.91         -   36
  archaea     MAG_386_1_88                                     1012        1004      1   1508     -0.88         -   56
  archaea     MAG_386_1_89                                      485         492      1   1508     -0.19         -   38
  archaea     MAG_386_1_95                                      621         584      1   1508     -0.82         -   58
  archaea     MAG_386_1_99                                       60          49      1   1508      2.00         -   42
  archaea     MAG_386_1_100                                     630         642      1   1508     -0.89         -   54
  archaea     MAG_386_1_103                                    1440        1429      1   1508     -0.54         -   33
  archaea     MAG_386_1_105                                     742         731      1   1508      3.11         -   50
  archaea     MAG_386_1_106                                     113         123      1   1508     -0.45         -   36
  archaea     MAG_386_1_106                                     734         713      1   1508     -0.84         -   36
  archaea     MAG_386_1_110                                     136         101      1   1508      1.05         -   31
  archaea     MAG_386_1_112                                    1367        1359      1   1508     -0.72         -   44
  archaea     MAG_386_1_113                                     757         779      1   1508      1.29         -   39
  archaea     MAG_386_1_113                                     568         542      1   1508      0.16         -   41
  archaea     MAG_386_1_115                                     143         154      1   1508     -0.54         -   33
  archaea     MAG_386_1_115                                     596         584      1   1508     -0.63         -   31
  archaea     MAG_386_1_116                                     999         979      1   1508      0.70         -   33
